edge_id,u,v,distance_km,walk_min
tf_0047,bs_201_05,bs_201_06,1.02,14.504
tf_0048,bs_201_06,bs_201_07,1.0199,14.503
tf_0049,bs_201_07,bs_201_08,0.9733,13.896
tf_0050,bs_171_09,bs_201_09,0.8318,12.05
tf_0051,bs_012_00,bs_012_01,1.0199,14.504
tf_0052,bs_012_01,bs_012_02,1.0163,14.456
tf_0053,bs_012_01,bs_500_00,0.3858,6.232
tf_0054,bs_012_02,bs_012_03,1.02,14.504
tf_0055,bs_012_02,bs_171_00,0.3623,5.926
tf_0056,bs_012_02,bs_500_00,0.8936,12.855
tf_0057,bs_012_03,bs_012_04,1.0199,14.504
tf_0058,bs_012_03,bs_171_00,0.8607,12.427
tf_0059,bs_012_05,bs_012_06,1.0199,14.503
tf_0060,bs_012_06,bs_012_07,1.02,14.504
tf_0061,bs_012_06,bs_045_04,0.31,5.244
tf_0062,bs_012_07,bs_012_08,1.0173,14.47
tf_0063,bs_012_07,bs_045_02,0.8796,12.673
tf_0064,bs_012_07,bs_045_04,0.9736,13.899
tf_0065,bs_012_08,bs_045_02,0.8266,11.982
tf_0066,bs_171_01,bs_500_02,0.9877,14.083
tf_0067,bs_171_02,bs_171_03,1.0197,14.5
tf_0068,bs_171_02,bs_500_03,0.9122,13.098
tf_0069,bs_171_03,bs_500_03,0.966,13.8
tf_0070,bs_171_03,bs_500_04,0.8015,11.654
tf_0071,bs_171_04,bs_171_05,0.9977,14.213
tf_0072,bs_171_04,bs_500_04,0.8597,12.413
tf_0073,bs_171_04,bs_500_05,0.5431,8.284
tf_0074,bs_171_05,bs_171_06,1.0199,14.504
tf_0075,bs_171_05,bs_500_05,0.7871,11.466
tf_0076,bs_171_05,bs_500_06,0.4806,7.468
tf_0077,bs_171_06,bs_171_07,0.9967,14.201
tf_0078,bs_171_06,bs_500_06,0.8414,12.175
tf_0079,bs_171_06,bs_500_07,0.5773,8.73
tf_0080,bs_171_07,bs_171_08,1.0199,14.503
tf_0081,bs_171_07,bs_500_08,0.734,10.774
tf_0082,bs_171_08,bs_171_09,1.003,14.283
tf_0083,bs_171_08,bs_500_09,0.8069,11.724
tf_0084,bs_500_02,bs_500_03,1.02,14.504
tf_0085,bs_500_03,bs_500_04,1.0192,14.494
tf_0086,bs_500_05,bs_500_06,1.0199,14.503
tf_0087,bs_500_07,bs_500_08,0.9867,14.07
tf_0088,bs_500_08,bs_500_09,1.0199,14.503
tf_0089,bs_500_10,bs_500_11,0.964,13.774
tf_0090,bs_500_12,bs_500_13,1.0199,14.504
tf_0091,bs_500_13,bs_500_14,0.9686,13.834
tf_0092,bs_500_14,bs_500_15,0.9197,13.197
tf_0093,bs_045_00,bs_045_01,1.02,14.504
tf_0094,bs_045_01,bs_045_02,1.013,14.413
tf_0095,bs_356_01,bs_356_02,1.02,14.504
tf_0096,bs_356_02,bs_356_03,1.0162,14.455
tf_0097,bs_356_04,bs_356_05,1.0146,14.433
tf_0098,bs_356_05,bs_356_06,1.0199,14.503
tf_0099,bs_356_06,bs_356_07,0.9868,14.072
tf_0100,bs_356_07,bs_356_08,1.0039,14.295
tf_0101,bs_356_08,bs_356_09,1.0199,14.503
tf_0102,bs_222_01,bs_222_02,1.0188,14.489
tf_0103,bs_222_02,bs_222_03,1.0192,14.495
tf_0104,bs_222_03,bs_222_04,1.02,14.504
tf_0105,bs_222_04,bs_222_05,1.0134,14.419
tf_0106,bs_222_05,bs_222_06,0.9303,13.334
tf_0107,bs_222_06,bs_222_07,0.6397,9.544
