edge_id,u,v,distance_km,road_class,free_speed_kmph,lanes
rd_0076,jn_033,mg_jayadeva,1.0557,secondary,32.0,2
rd_0077,bs_500_02,mg_jayadeva,1.2098,arterial,42.0,3
rd_0078,jn_015,mg_btm,0.5016,secondary,32.0,2
rd_0079,jn_016,mg_btm,0.7849,secondary,32.0,2
rd_0080,jn_014,mg_btm,0.99,arterial,42.0,3
rd_0081,jn_034,mg_btm,1.1391,secondary,32.0,2
rd_0082,bs_356_09,mg_silkboard,0.1871,secondary,32.0,2
rd_0083,jn_017,mg_silkboard,0.3475,secondary,32.0,2
rd_0084,jn_006,mg_silkboard,0.9673,arterial,42.0,3
rd_0085,jn_016,mg_silkboard,1.0298,secondary,32.0,2
rd_0086,jn_001,mg_bommanahalli,0.5856,secondary,32.0,2
rd_0087,jn_000,mg_bommanahalli,0.7481,arterial,42.0,3
rd_0088,jn_002,mg_bommanahalli,0.803,secondary,32.0,2
rd_0089,jn_006,mg_bommanahalli,1.5048,secondary,32.0,2
rd_0090,bs_012_08,bs_201_00,0.3421,secondary,32.0,2
rd_0091,bs_201_00,jn_103,0.6403,residential,22.0,1
rd_0092,bs_201_00,jn_090,0.69,arterial,42.0,3
rd_0093,bs_201_01,jn_090,0.5781,secondary,32.0,2
rd_0094,bs_201_01,jn_104,0.6055,arterial,42.0,3
rd_0095,bs_201_01,jn_105,0.8285,secondary,32.0,2
rd_0096,bs_201_02,jn_091,0.4995,secondary,32.0,2
rd_0097,bs_201_02,jn_105,0.5109,secondary,32.0,2
rd_0098,bs_201_02,jn_106,0.7834,residential,22.0,1
rd_0099,bs_201_03,jn_106,0.5505,secondary,32.0,2
rd_0100,bs_201_03,jn_093,0.7994,secondary,32.0,2
rd_0101,bs_201_03,jn_107,0.8956,secondary,32.0,2
rd_0102,bs_201_04,jn_093,0.8116,secondary,32.0,2
rd_0103,bs_201_04,jn_108,0.8671,secondary,32.0,2
rd_0104,bs_201_04,jn_107,0.9979,secondary,32.0,2
rd_0105,bs_201_05,jn_108,0.5981,residential,22.0,1
rd_0106,bs_201_05,jn_095,0.6092,secondary,32.0,2
rd_0107,bs_201_06,jn_095,0.7294,secondary,32.0,2
rd_0108,bs_201_06,jn_110,0.8645,arterial,42.0,3
rd_0109,bs_201_06,jn_109,0.8839,secondary,32.0,2
rd_0110,bs_201_07,jn_096,0.2138,residential,22.0,1
rd_0111,bs_201_07,jn_097,0.8744,secondary,32.0,2
rd_0112,bs_201_07,bs_201_08,1.0382,arterial,42.0,3
rd_0113,bs_201_08,jn_097,0.3677,secondary,32.0,2
rd_0114,bs_201_08,jn_080,0.8375,arterial,42.0,3
rd_0115,bs_201_08,jn_111,0.948,secondary,32.0,2
rd_0116,bs_201_08,jn_098,0.9606,secondary,32.0,2
rd_0117,bs_201_09,jn_081,0.3744,arterial,42.0,3
rd_0118,bs_201_09,jn_098,0.657,secondary,32.0,2
rd_0119,bs_171_09,bs_201_09,0.8873,arterial,42.0,3
rd_0120,bs_201_09,jn_099,0.8991,arterial,42.0,3
rd_0121,bs_012_00,jn_003,0.5448,arterial,42.0,3
rd_0122,bs_012_00,jn_010,0.777,residential,22.0,1
rd_0123,bs_012_00,bs_012_01,1.0879,secondary,32.0,2
rd_0124,bs_012_01,bs_500_00,0.4115,secondary,32.0,2
rd_0125,bs_012_01,jn_011,0.574,residential,22.0,1
rd_0126,bs_012_01,jn_030,0.5909,residential,22.0,1
rd_0127,bs_012_02,bs_171_00,0.3865,secondary,32.0,2
rd_0128,bs_012_02,jn_031,0.4994,residential,22.0,1
rd_0129,bs_012_02,jn_030,0.6398,residential,22.0,1
rd_0130,bs_012_03,jn_057,0.4956,secondary,32.0,2
rd_0131,bs_012_03,jn_046,0.5172,arterial,42.0,3
rd_0132,bs_012_03,bs_171_00,0.9181,residential,22.0,1
rd_0133,bs_012_04,jn_064,0.5877,residential,22.0,1
rd_0134,bs_012_04,jn_057,0.5945,secondary,32.0,2
rd_0135,bs_012_05,jn_064,0.6489,secondary,32.0,2
rd_0136,bs_012_05,jn_063,0.692,residential,22.0,1
rd_0137,bs_012_05,jn_070,0.7856,secondary,32.0,2
rd_0138,bs_012_06,bs_045_04,0.3307,secondary,32.0,2
rd_0139,bs_012_06,jn_070,0.4292,arterial,42.0,3
rd_0140,bs_012_06,jn_069,0.5868,arterial,42.0,3
rd_0141,bs_012_07,jn_077,0.7701,secondary,32.0,2
rd_0142,bs_012_07,jn_076,0.8347,secondary,32.0,2
rd_0143,bs_012_07,mg_krmarket,0.8497,residential,22.0,1
rd_0144,bs_012_08,jn_090,0.525,arterial,42.0,3
rd_0145,bs_012_08,jn_089,0.6627,residential,22.0,1
rd_0146,bs_171_00,jn_031,0.4714,secondary,32.0,2
rd_0147,bs_171_00,jn_047,0.5593,secondary,32.0,2
rd_0148,bs_171_01,jn_047,0.6487,secondary,32.0,2
rd_0149,bs_171_01,jn_032,0.7042,residential,22.0,1
rd_0150,bs_171_01,jn_048,0.7685,arterial,42.0,3
rd_0151,bs_171_01,bs_500_02,1.0535,residential,22.0,1
rd_0152,bs_171_02,jn_049,0.5405,secondary,32.0,2
rd_0153,bs_171_02,jn_048,0.5598,secondary,32.0,2
rd_0154,bs_171_02,bs_500_03,0.973,secondary,32.0,2
rd_0155,bs_171_02,jn_033,1.0747,secondary,32.0,2
rd_0156,bs_171_03,jn_050,0.2358,secondary,32.0,2
rd_0157,bs_171_03,jn_049,0.5623,secondary,32.0,2
rd_0158,bs_171_03,bs_500_04,0.8549,residential,22.0,1
rd_0159,bs_171_03,bs_500_03,1.0304,secondary,32.0,2
rd_0160,bs_171_04,jn_051,0.1832,secondary,32.0,2
rd_0161,bs_171_04,bs_500_05,0.5793,residential,22.0,1
rd_0162,bs_171_04,jn_059,0.9088,arterial,42.0,3
rd_0163,bs_171_04,bs_500_04,0.917,residential,22.0,1
rd_0164,bs_171_05,jn_060,0.3801,arterial,42.0,3
rd_0165,bs_171_05,jn_052,0.4086,secondary,32.0,2
rd_0166,bs_171_05,bs_500_06,0.5126,secondary,32.0,2
rd_0167,bs_171_05,jn_059,0.5209,arterial,42.0,3
rd_0168,bs_171_06,bs_500_07,0.6158,residential,22.0,1
rd_0169,bs_171_06,jn_060,0.7726,residential,22.0,1
rd_0170,bs_171_06,jn_061,0.8598,secondary,32.0,2
rd_0171,bs_171_06,bs_500_06,0.8975,secondary,32.0,2
rd_0172,bs_171_07,jn_066,0.2607,secondary,32.0,2
rd_0173,bs_171_07,bs_500_08,0.783,secondary,32.0,2
rd_0174,bs_171_07,jn_061,1.0216,secondary,32.0,2
rd_0175,bs_171_06,bs_171_07,1.0632,residential,22.0,1
rd_0176,bs_171_08,jn_072,0.285,residential,22.0,1
rd_0177,bs_171_08,bs_500_09,0.8606,residential,22.0,1
rd_0178,bs_171_08,jn_071,0.9494,secondary,32.0,2
rd_0179,bs_171_08,jn_067,0.9964,secondary,32.0,2
rd_0180,bs_171_09,jn_081,0.7629,secondary,32.0,2
rd_0181,bs_171_09,jn_072,0.8183,arterial,42.0,3
rd_0182,bs_171_09,jn_073,0.9354,secondary,32.0,2
rd_0183,bs_500_00,jn_011,0.4139,residential,22.0,1
rd_0184,bs_500_00,jn_030,0.7215,secondary,32.0,2
rd_0185,bs_500_01,jn_031,0.6766,secondary,32.0,2
rd_0186,bs_500_01,jn_012,0.8159,secondary,32.0,2
rd_0187,bs_500_01,jn_032,0.8812,arterial,42.0,3
rd_0188,bs_500_00,bs_500_01,1.088,secondary,32.0,2
rd_0189,bs_500_02,jn_032,0.3848,secondary,32.0,2
rd_0190,bs_500_02,jn_033,0.6712,arterial,42.0,3
rd_0191,bs_500_02,bs_500_03,1.088,residential,22.0,1
rd_0192,bs_500_03,jn_033,0.4784,arterial,42.0,3
rd_0193,bs_500_03,jn_049,0.7502,arterial,42.0,3
rd_0194,bs_500_04,jn_034,0.6561,secondary,32.0,2
rd_0195,bs_500_04,jn_051,0.8888,residential,22.0,1
rd_0196,bs_500_05,jn_051,0.4051,secondary,32.0,2
rd_0197,bs_500_05,jn_052,0.8278,secondary,32.0,2
rd_0198,bs_171_05,bs_500_05,0.8395,secondary,32.0,2
rd_0199,bs_500_06,jn_052,0.2609,residential,22.0,1
rd_0200,bs_500_06,jn_060,0.5986,residential,22.0,1
rd_0201,bs_500_07,jn_061,0.3353,secondary,32.0,2
rd_0202,bs_500_07,jn_053,0.926,secondary,32.0,2
rd_0203,bs_500_07,bs_500_08,1.0525,secondary,32.0,2
rd_0204,bs_500_08,jn_062,0.5631,secondary,32.0,2
rd_0205,bs_500_08,jn_061,0.743,arterial,42.0,3
rd_0206,bs_500_08,jn_067,0.7523,secondary,32.0,2
rd_0207,bs_500_09,jn_067,0.3501,arterial,42.0,3
rd_0208,bs_500_09,jn_068,0.8373,arterial,42.0,3
rd_0209,bs_500_09,jn_072,0.8587,secondary,32.0,2
rd_0210,bs_500_10,jn_073,0.2144,arterial,42.0,3
rd_0211,bs_500_10,jn_068,0.878,arterial,42.0,3
rd_0212,bs_500_10,bs_500_11,1.0283,secondary,32.0,2
rd_0213,bs_500_09,bs_500_10,1.0881,secondary,32.0,2
rd_0214,bs_500_11,jn_082,0.4618,secondary,32.0,2
rd_0215,bs_500_11,jn_083,0.6796,residential,22.0,1
rd_0216,bs_500_11,jn_073,1.0165,residential,22.0,1
rd_0217,bs_500_12,jn_099,0.4466,residential,22.0,1
rd_0218,bs_500_12,jn_100,0.7707,secondary,32.0,2
rd_0219,bs_500_12,jn_082,0.8428,arterial,42.0,3
rd_0220,bs_500_12,jn_083,1.0214,residential,22.0,1
rd_0221,bs_500_13,jn_113,0.5419,secondary,32.0,2
rd_0222,bs_500_13,jn_100,0.927,residential,22.0,1
rd_0223,bs_500_13,jn_112,0.9926,secondary,32.0,2
rd_0224,bs_500_13,bs_500_14,1.0332,secondary,32.0,2
rd_0225,bs_500_14,jn_115,0.656,residential,22.0,1
rd_0226,bs_500_14,jn_113,0.8346,secondary,32.0,2
rd_0227,bs_500_14,mg_svroad,0.9197,secondary,32.0,2
rd_0228,bs_500_14,bs_500_15,0.9811,residential,22.0,1
rd_0229,bs_500_15,jn_116,0.616,residential,22.0,1
rd_0230,bs_500_15,jn_117,0.6218,secondary,32.0,2
rd_0231,bs_045_00,jn_101,0.3335,secondary,32.0,2
rd_0232,bs_045_00,jn_087,0.6503,residential,22.0,1
rd_0233,bs_045_00,jn_102,0.9405,secondary,32.0,2
rd_0234,bs_045_01,jn_088,0.3089,residential,22.0,1
rd_0235,bs_045_01,jn_087,0.7246,secondary,32.0,2
rd_0236,bs_045_01,jn_102,0.7822,residential,22.0,1
rd_0237,bs_045_01,jn_089,1.0677,residential,22.0,1
rd_0238,bs_045_02,jn_089,0.2938,residential,22.0,1
rd_0239,bs_012_08,bs_045_02,0.8817,secondary,32.0,2
rd_0240,bs_012_07,bs_045_02,0.9382,secondary,32.0,2
rd_0241,bs_045_02,mg_chickpete,0.9939,secondary,32.0,2
rd_0242,bs_045_04,jn_070,0.4304,secondary,32.0,2
rd_0243,bs_045_04,jn_077,0.8303,residential,22.0,1
rd_0244,bs_356_00,jn_025,0.2688,arterial,42.0,3
rd_0245,bs_356_00,jn_024,0.8091,residential,22.0,1
rd_0246,bs_356_00,jn_008,0.8359,residential,22.0,1
rd_0247,bs_356_00,bs_356_01,1.088,arterial,42.0,3
rd_0248,bs_356_01,jn_024,0.3411,secondary,32.0,2
rd_0249,bs_356_01,jn_023,0.4604,arterial,42.0,3
rd_0250,bs_356_01,bs_356_02,1.088,secondary,32.0,2
rd_0251,bs_356_02,jn_022,0.6811,secondary,32.0,2
rd_0252,bs_356_02,jn_023,0.7835,arterial,42.0,3
rd_0253,bs_356_02,jn_040,0.8459,secondary,32.0,2
rd_0254,bs_356_02,jn_039,0.9206,arterial,42.0,3
rd_0255,bs_356_03,jn_039,0.6307,secondary,32.0,2
rd_0256,bs_356_03,jn_038,0.7984,secondary,32.0,2
rd_0257,bs_356_03,jn_022,0.8614,secondary,32.0,2
rd_0258,bs_356_03,jn_021,0.9541,residential,22.0,1
rd_0259,bs_356_04,jn_038,0.3494,arterial,42.0,3
rd_0260,bs_356_04,jn_037,0.5696,residential,22.0,1
rd_0261,bs_356_04,jn_021,0.8071,arterial,42.0,3
rd_0262,bs_356_04,bs_356_05,1.0822,residential,22.0,1
rd_0263,bs_356_05,jn_036,0.4811,secondary,32.0,2
rd_0264,bs_356_05,jn_037,0.6445,secondary,32.0,2
rd_0265,bs_356_05,jn_020,0.8153,residential,22.0,1
rd_0266,bs_356_06,jn_036,0.6094,arterial,42.0,3
rd_0267,bs_356_06,jn_020,0.6751,secondary,32.0,2
rd_0268,bs_356_06,jn_035,0.8563,secondary,32.0,2
rd_0269,bs_356_06,bs_356_07,1.0526,residential,22.0,1
rd_0270,bs_356_07,jn_019,0.1763,arterial,42.0,3
rd_0271,bs_356_07,jn_007,0.9099,arterial,42.0,3
rd_0272,bs_356_07,jn_035,0.9973,arterial,42.0,3
rd_0273,bs_356_08,jn_018,0.1603,arterial,42.0,3
rd_0274,bs_356_08,jn_017,0.9365,secondary,32.0,2
rd_0275,bs_356_07,bs_356_08,1.0709,residential,22.0,1
rd_0276,bs_356_08,bs_356_09,1.0879,residential,22.0,1
rd_0277,bs_356_09,jn_017,0.1678,residential,22.0,1
rd_0278,bs_356_09,jn_006,0.9587,residential,22.0,1
rd_0279,bs_222_01,jn_009,0.2416,secondary,32.0,2
rd_0280,bs_222_01,jn_010,0.5041,secondary,32.0,2
rd_0281,bs_222_01,bs_222_02,1.0867,residential,22.0,1
rd_0282,bs_222_01,mg_banashankari,1.0881,residential,22.0,1
rd_0283,bs_222_02,jn_028,0.5329,arterial,42.0,3
rd_0284,bs_222_02,jn_029,0.5926,secondary,32.0,2
rd_0285,bs_222_02,jn_009,0.847,residential,22.0,1
rd_0286,bs_222_02,bs_222_03,1.0872,residential,22.0,1
rd_0287,bs_222_03,jn_028,0.7055,secondary,32.0,2
rd_0288,bs_222_03,jn_045,0.8657,residential,22.0,1
rd_0289,bs_222_03,bs_222_04,1.088,secondary,32.0,2
rd_0290,bs_222_04,jn_044,0.2772,residential,22.0,1
rd_0291,bs_222_04,jn_043,0.6973,secondary,32.0,2
rd_0292,bs_222_04,jn_027,0.9518,secondary,32.0,2
rd_0293,bs_222_04,jn_026,1.0654,secondary,32.0,2
rd_0294,bs_222_05,jn_043,0.4192,residential,22.0,1
rd_0295,bs_222_05,jn_042,0.8725,secondary,32.0,2
rd_0296,bs_222_05,jn_044,0.9271,secondary,32.0,2
rd_0297,bs_222_05,jn_026,0.9585,arterial,42.0,3
rd_0298,bs_222_06,jn_055,0.6194,secondary,32.0,2
rd_0299,bs_222_06,bs_222_07,0.6824,secondary,32.0,2
rd_0300,bs_222_06,jn_042,0.8171,secondary,32.0,2
rd_0301,bs_222_05,bs_222_06,0.9923,residential,22.0,1
rd_0302,bs_222_07,jn_055,0.1845,secondary,32.0,2
rd_0303,bs_222_07,jn_054,0.8313,residential,22.0,1
rd_0304,bs_222_07,jn_042,1.443,secondary,32.0,2
rd_0305,jn_000,jn_001,1.1206,secondary,32.0,2
rd_0306,jn_000,jn_002,1.3099,secondary,32.0,2
rd_0307,jn_001,jn_006,0.9448,residential,22.0,1
rd_0308,jn_001,jn_002,1.2669,residential,22.0,1
rd_0309,jn_002,jn_007,1.6635,residential,22.0,1
rd_0310,jn_003,jn_010,1.2514,secondary,32.0,2
rd_0311,bs_222_01,jn_003,1.4201,residential,22.0,1
rd_0312,jn_004,jn_005,0.6401,arterial,42.0,3
rd_0313,jn_004,jn_012,1.3517,residential,22.0,1
rd_0314,jn_004,jn_013,1.4293,secondary,32.0,2
rd_0315,jn_005,jn_013,0.9151,secondary,32.0,2
rd_0316,jn_005,mg_jayadeva,1.414,secondary,32.0,2
rd_0317,jn_006,jn_017,1.0444,secondary,32.0,2
rd_0318,jn_007,jn_019,0.7756,residential,22.0,1
rd_0319,bs_356_08,jn_007,1.2156,secondary,32.0,2
rd_0320,jn_007,jn_018,1.3168,arterial,42.0,3
rd_0321,jn_008,jn_025,0.9543,secondary,32.0,2
rd_0322,jn_008,jn_024,1.3965,residential,22.0,1
rd_0323,bs_356_01,jn_008,1.7341,secondary,32.0,2
rd_0324,jn_009,jn_010,0.7107,secondary,32.0,2
rd_0325,jn_009,jn_029,1.0892,secondary,32.0,2
rd_0326,jn_011,jn_012,0.8148,secondary,32.0,2
rd_0327,bs_500_00,jn_012,0.9344,secondary,32.0,2
rd_0328,jn_013,jn_014,1.1243,residential,22.0,1
rd_0329,jn_014,jn_015,0.867,secondary,32.0,2
rd_0330,jn_015,jn_034,0.7706,residential,22.0,1
rd_0331,jn_015,jn_016,0.9579,residential,22.0,1
rd_0332,jn_016,jn_034,1.0146,secondary,32.0,2
rd_0333,jn_017,jn_018,0.9612,residential,22.0,1
rd_0334,bs_356_07,jn_018,1.0546,arterial,42.0,3
rd_0335,bs_356_09,jn_018,1.122,arterial,42.0,3
rd_0336,bs_356_06,jn_019,1.1349,secondary,32.0,2
rd_0337,jn_019,jn_035,1.167,secondary,32.0,2
rd_0338,jn_020,jn_036,0.5661,residential,22.0,1
rd_0339,jn_019,jn_020,1.199,secondary,32.0,2
rd_0340,jn_021,jn_038,0.8607,secondary,32.0,2
rd_0341,jn_021,jn_037,1.3164,secondary,32.0,2
rd_0342,jn_022,jn_039,1.1268,residential,22.0,1
rd_0343,jn_022,jn_023,1.1011,residential,22.0,1
rd_0344,jn_023,jn_024,0.6667,secondary,32.0,2
rd_0345,jn_024,jn_025,1.019,residential,22.0,1
rd_0346,bs_356_01,jn_025,1.2572,residential,22.0,1
rd_0347,jn_026,jn_043,0.7176,secondary,32.0,2
rd_0348,jn_026,jn_027,0.858,residential,22.0,1
rd_0349,jn_027,jn_044,1.2053,secondary,32.0,2
rd_0350,jn_027,jn_043,1.1978,secondary,32.0,2
rd_0351,jn_028,jn_029,0.9596,secondary,32.0,2
rd_0352,jn_028,jn_045,1.3112,secondary,32.0,2
rd_0353,jn_029,jn_045,1.0315,residential,22.0,1
rd_0354,jn_032,jn_033,1.0166,residential,22.0,1
rd_0355,jn_035,jn_053,1.2811,secondary,32.0,2
rd_0356,jn_036,jn_037,1.1037,secondary,32.0,2
rd_0357,jn_037,jn_038,0.8313,arterial,42.0,3
rd_0358,jn_039,jn_040,0.9763,residential,22.0,1
rd_0359,jn_023,jn_040,1.3163,residential,22.0,1
rd_0360,jn_040,jn_041,1.288,secondary,32.0,2
rd_0361,bs_356_01,jn_041,1.1971,arterial,42.0,3
rd_0362,jn_024,jn_041,1.349,residential,22.0,1
rd_0363,jn_025,jn_041,1.4001,secondary,32.0,2
rd_0364,jn_042,jn_043,1.1716,arterial,42.0,3
rd_0365,jn_026,jn_042,1.2114,residential,22.0,1
rd_0366,jn_043,jn_044,0.6133,residential,22.0,1
rd_0367,jn_026,jn_044,1.1594,secondary,32.0,2
rd_0368,bs_222_02,jn_045,1.3685,secondary,32.0,2
rd_0369,bs_012_02,jn_046,0.9019,secondary,32.0,2
rd_0370,jn_046,jn_057,0.9107,arterial,42.0,3
rd_0371,jn_031,jn_047,0.8118,residential,22.0,1
rd_0372,jn_048,jn_049,1.062,secondary,32.0,2
rd_0373,jn_032,jn_048,1.1578,secondary,32.0,2
rd_0374,jn_049,jn_050,0.7584,secondary,32.0,2
rd_0375,bs_500_04,jn_050,0.9435,secondary,32.0,2
rd_0376,jn_050,jn_058,0.9568,residential,22.0,1
rd_0377,jn_051,jn_059,0.9457,secondary,32.0,2
rd_0378,jn_052,jn_060,0.6583,arterial,42.0,3
rd_0379,jn_053,jn_061,0.986,residential,22.0,1
rd_0380,jn_053,jn_062,1.3949,residential,22.0,1
rd_0381,jn_054,jn_055,1.0138,arterial,42.0,3
rd_0382,bs_222_06,jn_054,1.3549,secondary,32.0,2
rd_0383,jn_042,jn_054,1.8902,residential,22.0,1
rd_0384,jn_042,jn_055,1.4222,residential,22.0,1
rd_0385,bs_012_04,jn_056,0.9594,secondary,32.0,2
rd_0386,jn_056,jn_063,1.0802,secondary,32.0,2
rd_0387,jn_056,jn_057,1.1519,secondary,32.0,2
rd_0388,jn_056,mg_lalbagh,1.1876,residential,22.0,1
rd_0389,bs_171_04,jn_058,0.9469,residential,22.0,1
rd_0390,jn_058,jn_059,1.0329,secondary,32.0,2
rd_0391,jn_051,jn_058,1.1238,secondary,32.0,2
rd_0392,jn_059,jn_060,0.5964,arterial,42.0,3
rd_0393,jn_052,jn_059,0.9224,arterial,42.0,3
rd_0394,jn_061,jn_062,0.8689,residential,22.0,1
rd_0395,jn_062,jn_067,0.9879,residential,22.0,1
rd_0396,bs_500_07,jn_062,1.1982,secondary,32.0,2
rd_0397,jn_063,jn_069,1.1229,secondary,32.0,2
rd_0398,jn_064,jn_065,0.6776,secondary,32.0,2
rd_0399,bs_012_05,jn_065,1.0326,residential,22.0,1
rd_0400,bs_012_04,jn_065,1.1677,arterial,42.0,3
rd_0401,bs_171_06,jn_066,0.979,secondary,32.0,2
rd_0402,bs_500_08,jn_066,1.031,residential,22.0,1
rd_0403,jn_061,jn_066,1.1488,secondary,32.0,2
rd_0404,jn_068,jn_073,1.0419,secondary,32.0,2
rd_0405,jn_067,jn_068,1.0306,arterial,42.0,3
rd_0406,jn_069,jn_076,0.6162,secondary,32.0,2
rd_0407,bs_045_04,jn_069,0.9102,arterial,42.0,3
rd_0408,jn_071,jn_072,1.0113,secondary,32.0,2
rd_0409,bs_171_09,jn_071,1.1633,arterial,42.0,3
rd_0410,jn_071,jn_080,1.2071,residential,22.0,1
rd_0411,jn_072,jn_073,1.0122,arterial,42.0,3
rd_0412,jn_074,jn_075,0.5595,secondary,32.0,2
rd_0413,jn_074,jn_084,1.0007,residential,22.0,1
rd_0414,jn_074,jn_085,1.268,secondary,32.0,2
rd_0415,jn_074,jn_083,1.9168,secondary,32.0,2
rd_0416,jn_075,jn_085,1.1951,secondary,32.0,2
rd_0417,jn_075,jn_084,1.4046,residential,22.0,1
rd_0418,jn_076,mg_krmarket,0.7841,secondary,32.0,2
rd_0419,bs_012_06,jn_076,0.8895,secondary,32.0,2
rd_0420,jn_077,mg_krmarket,0.9023,secondary,32.0,2
rd_0421,jn_078,jn_079,0.9442,residential,22.0,1
rd_0422,jn_078,jn_093,1.3763,residential,22.0,1
rd_0423,jn_078,jn_092,1.405,secondary,32.0,2
rd_0424,jn_078,jn_094,1.5606,residential,22.0,1
rd_0425,jn_079,jn_094,1.0479,residential,22.0,1
rd_0426,jn_079,jn_095,1.5594,secondary,32.0,2
