edge_id,edge_kind,mode,ts,hour,dow,is_weekend,rain,base_min,observed_min
rd_00604,road,road,2025-01-06T06:27:19,6.456,0,0,0,0.0194,0.25
rd_c_bs_s_6210612248,road,road,2025-01-06T06:27:22,6.456,0,0,0,0.0417,0.25
rd_00917,road,road,2025-01-06T06:27:24,6.457,0,0,0,0.1642,0.25
rd_00299,road,road,2025-01-06T06:27:25,6.457,0,0,0,0.1718,0.25
tr_bus_v500ck_004,transit,bus,2025-01-06T06:27:27,6.458,0,0,0,1.611,1.8651
tr_bus_k1_003,transit,bus,2025-01-06T06:27:51,6.464,0,0,0,2.032,2.1016
rd_00409,road,road,2025-01-06T06:28:25,6.474,0,0,0,0.0418,0.25
rd_00572,road,road,2025-01-06T06:28:29,6.475,0,0,0,0.0669,0.25
rd_00374,road,road,2025-01-06T06:28:30,6.475,0,0,0,0.03,0.25
rd_01122,road,road,2025-01-06T06:28:33,6.476,0,0,0,0.036,0.25
rd_00014,road,road,2025-01-06T06:28:39,6.478,0,0,0,0.0396,0.25
rd_00949,road,road,2025-01-06T06:29:17,6.488,0,0,0,0.1573,0.25
rd_00219,road,road,2025-01-06T06:29:33,6.493,0,0,0,0.0901,0.25
rd_01207,road,road,2025-01-06T06:29:47,6.497,0,0,0,1.3036,1.5919
rd_00990,road,road,2025-01-06T06:29:55,6.499,0,0,0,0.9114,0.8847
rd_00941,road,road,2025-01-06T06:30:19,6.505,0,0,0,0.531,0.6212
rd_00859,road,road,2025-01-06T06:30:21,6.506,0,0,0,0.6118,0.689
rd_01096,road,road,2025-01-06T06:30:23,6.507,0,0,0,0.8401,0.8369
rd_00155,road,road,2025-01-06T06:30:26,6.507,0,0,0,0.045,0.25
rd_00256,road,road,2025-01-06T06:31:34,6.526,0,0,0,1.1587,1.0037
tr_metro_purpleline_006,transit,metro,2025-01-06T06:31:50,6.531,0,0,0,2.626,2.7828
tr_metro_greenline_004,transit,metro,2025-01-06T06:31:52,6.531,0,0,0,2.335,2.2108
rd_c_bs_s_2396434084,road,road,2025-01-06T06:32:16,6.538,0,0,0,0.0663,0.25
rd_00268,road,road,2025-01-06T06:32:22,6.54,0,0,0,0.1686,0.25
rd_00705,road,road,2025-01-06T06:32:38,6.544,0,0,0,0.012,0.25
tr_bus_60a_006,transit,bus,2025-01-06T06:32:48,6.547,0,0,0,3.783,4.2232
rd_01157,road,road,2025-01-06T06:33:02,6.551,0,0,0,0.1917,0.25
rd_00774,road,road,2025-01-06T06:33:18,6.555,0,0,0,0.3408,0.4753
rd_00657,road,road,2025-01-06T06:33:20,6.556,0,0,0,0.0868,0.25
tr_bus_75b_011,transit,bus,2025-01-06T06:33:21,6.556,0,0,0,1.788,2.1179
rd_01195,road,road,2025-01-06T06:34:07,6.569,0,0,0,1.0653,1.3831
rd_01022,road,road,2025-01-06T06:34:27,6.574,0,0,0,0.3258,0.4003
rd_00265,road,road,2025-01-06T06:34:49,6.581,0,0,0,0.1144,0.25
rd_00941,road,road,2025-01-06T06:34:57,6.583,0,0,0,0.531,0.6645
rd_c_bs_s_2511399368,road,road,2025-01-06T06:35:18,6.588,0,0,0,0.7422,0.7502
tr_bus_201g_002,transit,bus,2025-01-06T06:36:15,6.604,0,0,0,3.127,2.9774
rd_00898,road,road,2025-01-06T06:36:45,6.613,0,0,0,0.6649,0.7303
rd_00522,road,road,2025-01-06T06:37:10,6.62,0,0,0,0.3199,0.4166
rd_01185,road,road,2025-01-06T06:37:22,6.623,0,0,0,1.8296,1.9376
rd_01007,road,road,2025-01-06T06:37:46,6.63,0,0,0,1.263,1.6457
rd_00294,road,road,2025-01-06T06:38:16,6.638,0,0,0,0.218,0.2512
rd_00795,road,road,2025-01-06T06:38:22,6.639,0,0,0,0.0682,0.25
rd_00842,road,road,2025-01-06T06:38:24,6.64,0,0,0,0.2756,0.2695
rd_00231,road,road,2025-01-06T06:38:43,6.645,0,0,0,1.4547,1.6376
tr_bus_tr12_018,transit,bus,2025-01-06T06:39:09,6.653,0,0,0,2.473,2.8389
rd_00949,road,road,2025-01-06T06:39:31,6.659,0,0,0,0.1573,0.25
rd_c_bs_s_5727066678,road,road,2025-01-06T06:39:42,6.662,0,0,0,0.0537,0.25
rd_00987,road,road,2025-01-06T06:40:24,6.674,0,0,0,0.1383,0.25
rd_c_bs_s_1698055294,road,road,2025-01-06T06:40:34,6.676,0,0,0,0.0369,0.25
tr_bus_171g_007,transit,bus,2025-01-06T06:40:35,6.677,0,0,0,4.933,6.318
rd_00296,road,road,2025-01-06T06:40:52,6.681,0,0,0,0.151,0.25
rd_00478,road,road,2025-01-06T06:41:22,6.69,0,0,0,0.0638,0.25
tr_bus_tr12_014,transit,bus,2025-01-06T06:41:23,6.69,0,0,0,2.878,3.5845
rd_00207,road,road,2025-01-06T06:41:32,6.692,0,0,0,0.0898,0.25
rd_00858,road,road,2025-01-06T06:41:33,6.693,0,0,0,0.2908,0.4462
rd_00280,road,road,2025-01-06T06:41:43,6.696,0,0,0,0.018,0.25
rd_00958,road,road,2025-01-06T06:41:46,6.696,0,0,0,0.6966,0.899
rd_00115,road,road,2025-01-06T06:42:03,6.701,0,0,0,0.0236,0.25
rd_c_ms_bommanahalli,road,road,2025-01-06T06:42:05,6.702,0,0,0,0.0882,0.25
rd_00005,road,road,2025-01-06T06:42:12,6.704,0,0,0,0.1321,0.25
rd_01205,road,road,2025-01-06T06:42:22,6.706,0,0,0,1.2017,1.4026
rd_00951,road,road,2025-01-06T06:42:27,6.708,0,0,0,0.252,0.3741
rd_c_bs_s_2472174924,road,road,2025-01-06T06:43:23,6.723,0,0,0,0.1086,0.25
rd_00711,road,road,2025-01-06T06:44:20,6.739,0,0,0,0.0562,0.25
rd_00280,road,road,2025-01-06T06:44:22,6.74,0,0,0,0.018,0.25
rd_00793,road,road,2025-01-06T06:44:25,6.74,0,0,0,0.1162,0.25
rd_00063,road,road,2025-01-06T06:45:10,6.753,0,0,0,0.1395,0.25
tr_bus_401n_011,transit,bus,2025-01-06T06:45:25,6.757,0,0,0,5.591,6.1463
rd_01068,road,road,2025-01-06T06:45:32,6.759,0,0,0,0.7654,0.6732
tr_bus_401n_016,transit,bus,2025-01-06T06:45:47,6.763,0,0,0,2.711,4.3394
rd_00543,road,road,2025-01-06T06:46:22,6.773,0,0,0,0.0158,0.25
rd_00982,road,road,2025-01-06T06:46:23,6.773,0,0,0,0.976,1.072
rd_c_ms_ms_attiguppe,road,road,2025-01-06T06:46:30,6.775,0,0,0,0.6264,1.0156
tr_bus_60a_008,transit,bus,2025-01-06T06:46:57,6.783,0,0,0,1.971,2.8135
rd_00636,road,road,2025-01-06T06:47:06,6.785,0,0,0,0.1445,0.25
rd_00275,road,road,2025-01-06T06:47:24,6.79,0,0,0,0.125,0.25
rd_c_bs_s_7131511277,road,road,2025-01-06T06:47:39,6.794,0,0,0,0.117,0.25
rd_00606,road,road,2025-01-06T06:47:43,6.795,0,0,0,0.1919,0.25
rd_00541,road,road,2025-01-06T06:47:53,6.798,0,0,0,0.0119,0.25
rd_00339,road,road,2025-01-06T06:48:09,6.803,0,0,0,0.4319,0.4602
tr_bus_342f_015,transit,bus,2025-01-06T06:48:15,6.804,0,0,0,1.617,2.0732
tr_bus_tr12_010,transit,bus,2025-01-06T06:48:25,6.807,0,0,0,3.568,4.5285
rd_01105,road,road,2025-01-06T06:48:27,6.808,0,0,0,1.081,0.9649
rd_00436,road,road,2025-01-06T06:48:28,6.808,0,0,0,0.0214,0.25
rd_01195,road,road,2025-01-06T06:49:09,6.819,0,0,0,1.0653,1.6948
tr_bus_176_013,transit,bus,2025-01-06T06:49:31,6.825,0,0,0,1.604,2.0199
rd_00042,road,road,2025-01-06T06:49:32,6.826,0,0,0,0.3636,0.4247
rd_00136,road,road,2025-01-06T06:49:39,6.828,0,0,0,0.0968,0.25
rd_00991,road,road,2025-01-06T06:49:43,6.829,0,0,0,0.9446,1.2661
rd_00132,road,road,2025-01-06T06:49:44,6.829,0,0,0,0.0243,0.25
rd_01162,road,road,2025-01-06T06:50:15,6.838,0,0,0,0.5005,0.6173
tr_bus_500l_017,transit,bus,2025-01-06T06:50:29,6.842,0,0,0,8.264,9.6187
rd_01135,road,road,2025-01-06T06:51:18,6.855,0,0,0,0.413,0.5528
rd_00620,road,road,2025-01-06T06:51:29,6.858,0,0,0,0.0638,0.25
tr_metro_purpleline_017,transit,metro,2025-01-06T06:51:31,6.859,0,0,0,2.692,2.4549
rd_00129,road,road,2025-01-06T06:51:45,6.863,0,0,0,0.4374,0.5989
rd_00309,road,road,2025-01-06T06:51:57,6.866,0,0,0,0.0175,0.25
rd_00083,road,road,2025-01-06T06:52:24,6.873,0,0,0,0.1442,0.25
rd_01197,road,road,2025-01-06T06:52:38,6.877,0,0,0,0.6658,0.6507
tr_bus_171g_014,transit,bus,2025-01-06T06:52:42,6.878,0,0,0,3.242,3.8594
rd_00110,road,road,2025-01-06T06:52:58,6.883,0,0,0,0.5294,0.6395
rd_00177,road,road,2025-01-06T06:53:06,6.885,0,0,0,0.0707,0.25
tr_bus_171g_007,transit,bus,2025-01-06T06:53:08,6.886,0,0,0,4.933,5.9673
tr_bus_k4_018,transit,bus,2025-01-06T06:53:24,6.89,0,0,0,3.143,3.6588
tr_bus_500l_016,transit,bus,2025-01-06T06:53:47,6.897,0,0,0,3.839,4.2969
rd_00406,road,road,2025-01-06T06:54:01,6.901,0,0,0,0.3804,0.4211
rd_c_bs_s_5777277381,road,road,2025-01-06T06:54:28,6.908,0,0,0,0.162,0.25
rd_01168,road,road,2025-01-06T06:54:35,6.91,0,0,0,0.7302,0.9172
rd_00098,road,road,2025-01-06T06:55:00,6.917,0,0,0,0.0662,0.25
tr_bus_75b_016,transit,bus,2025-01-06T06:55:33,6.926,0,0,0,2.677,3.7001
rd_00039,road,road,2025-01-06T06:55:42,6.928,0,0,0,0.067,0.25
rd_00481,road,road,2025-01-06T06:56:02,6.934,0,0,0,0.0167,0.25
rd_00108,road,road,2025-01-06T06:56:04,6.935,0,0,0,1.131,1.3461
rd_c_bs_s_3740957800,road,road,2025-01-06T06:56:24,6.94,0,0,0,0.0642,0.25
rd_00529,road,road,2025-01-06T06:56:27,6.941,0,0,0,0.0105,0.25
rd_00544,road,road,2025-01-06T06:56:30,6.942,0,0,0,0.2853,0.2884
rd_00553,road,road,2025-01-06T06:56:30,6.942,0,0,0,0.0418,0.25
rd_00277,road,road,2025-01-06T06:56:34,6.943,0,0,0,0.0103,0.25
tr_bus_k4_006,transit,bus,2025-01-06T06:57:28,6.958,0,0,0,2.947,3.6387
tr_bus_401n_025,transit,bus,2025-01-06T06:57:50,6.964,0,0,0,1.604,1.8811
tr_bus_342f_005,transit,bus,2025-01-06T06:58:02,6.967,0,0,0,2.502,3.0363
rd_01144,road,road,2025-01-06T06:58:03,6.968,0,0,0,1.6167,1.9245
rd_00471,road,road,2025-01-06T06:58:04,6.968,0,0,0,0.0619,0.25
rd_c_bs_s_7131511277,road,road,2025-01-06T06:58:13,6.97,0,0,0,0.117,0.25
rd_00384,road,road,2025-01-06T06:58:40,6.978,0,0,0,0.016,0.25
tr_bus_401n_020,transit,bus,2025-01-06T06:58:48,6.98,0,0,0,3.447,5.0467
rd_00534,road,road,2025-01-06T06:59:15,6.988,0,0,0,0.0206,0.25
rd_01161,road,road,2025-01-06T06:59:29,6.992,0,0,0,0.5424,0.5819
rd_00939,road,road,2025-01-06T06:59:31,6.992,0,0,0,1.839,2.9027
rd_00853,road,road,2025-01-06T06:59:50,6.997,0,0,0,1.7085,2.1687
rd_00946,road,road,2025-01-06T07:00:32,7.009,0,0,0,0.0554,0.25
rd_00067,road,road,2025-01-06T07:01:40,7.028,0,0,0,0.8222,0.8184
rd_00324,road,road,2025-01-06T07:01:41,7.028,0,0,0,0.397,0.5537
rd_00006,road,road,2025-01-06T07:02:44,7.046,0,0,0,0.0892,0.25
rd_00538,road,road,2025-01-06T07:02:52,7.048,0,0,0,0.0245,0.25
tr_bus_k4_021,transit,bus,2025-01-06T07:03:07,7.052,0,0,0,2.111,2.1702
rd_00986,road,road,2025-01-06T07:03:11,7.053,0,0,0,0.0784,0.25
rd_00070,road,road,2025-01-06T07:03:13,7.054,0,0,0,0.6495,0.8791
rd_00755,road,road,2025-01-06T07:04:00,7.067,0,0,0,0.3174,0.474
rd_00149,road,road,2025-01-06T07:04:31,7.075,0,0,0,0.013,0.25
rd_00149,road,road,2025-01-06T07:05:08,7.086,0,0,0,0.013,0.25
rd_00358,road,road,2025-01-06T07:05:08,7.086,0,0,0,1.2065,1.4801
rd_01201,road,road,2025-01-06T07:05:11,7.086,0,0,0,2.2179,2.4174
rd_00905,road,road,2025-01-06T07:05:18,7.088,0,0,0,0.5373,0.6848
tr_metro_greenline_003,transit,metro,2025-01-06T07:05:54,7.098,0,0,0,2.061,2.1233
tr_bus_k1_016,transit,bus,2025-01-06T07:06:29,7.108,0,0,0,2.434,2.7998
rd_01233,road,road,2025-01-06T07:06:34,7.11,0,0,0,0.1701,0.25
rd_01163,road,road,2025-01-06T07:06:36,7.11,0,0,0,0.0653,0.25
tr_metro_greenline_000,transit,metro,2025-01-06T07:06:41,7.111,0,0,0,3.004,3.4776
rd_00892,road,road,2025-01-06T07:07:18,7.122,0,0,0,0.0674,0.25
rd_01042,road,road,2025-01-06T07:07:32,7.126,0,0,0,0.3735,0.4086
tr_bus_tr12_019,transit,bus,2025-01-06T07:07:48,7.13,0,0,0,2.252,2.8637
tr_bus_k1_007,transit,bus,2025-01-06T07:07:54,7.132,0,0,0,5.054,5.8503
rd_00602,road,road,2025-01-06T07:07:58,7.133,0,0,0,0.0656,0.25
tr_bus_60a_005,transit,bus,2025-01-06T07:08:14,7.137,0,0,0,2.768,4.1008
rd_01074,road,road,2025-01-06T07:08:20,7.139,0,0,0,0.112,0.25
rd_00915,road,road,2025-01-06T07:08:35,7.143,0,0,0,0.6387,0.7912
tr_bus_171g_022,transit,bus,2025-01-06T07:08:48,7.147,0,0,0,2.534,3.8443
rd_00591,road,road,2025-01-06T07:08:49,7.147,0,0,0,0.1217,0.25
rd_01212,road,road,2025-01-06T07:08:58,7.15,0,0,0,0.5907,0.829
rd_01165,road,road,2025-01-06T07:09:02,7.151,0,0,0,0.6618,0.7244
rd_00337,road,road,2025-01-06T07:09:29,7.158,0,0,0,0.2334,0.3041
rd_01136,road,road,2025-01-06T07:10:00,7.167,0,0,0,0.0889,0.25
tr_bus_500l_010,transit,bus,2025-01-06T07:10:01,7.167,0,0,0,3.73,5.5803
rd_01135,road,road,2025-01-06T07:10:12,7.17,0,0,0,0.413,0.5671
rd_01113,road,road,2025-01-06T07:10:27,7.174,0,0,0,0.2012,0.3214
rd_c_pl_pro_sarjapur,road,road,2025-01-06T07:10:56,7.182,0,0,0,1.2333,1.4456
tr_bus_tr12_016,transit,bus,2025-01-06T07:11:00,7.183,0,0,0,2.12,2.9547
tr_metro_greenline_006,transit,metro,2025-01-06T07:11:18,7.188,0,0,0,2.023,1.823
rd_c_bs_s_5776678179,road,road,2025-01-06T07:11:20,7.189,0,0,0,0.0567,0.25
tr_bus_v500ck_001,transit,bus,2025-01-06T07:11:22,7.19,0,0,0,3.395,4.4046
rd_01218,road,road,2025-01-06T07:11:28,7.191,0,0,0,2.5566,3.4952
rd_00159,road,road,2025-01-06T07:11:38,7.194,0,0,0,0.0398,0.25
rd_c_bs_s_2473290896,road,road,2025-01-06T07:11:45,7.196,0,0,0,0.5127,0.7035
rd_00897,road,road,2025-01-06T07:11:54,7.198,0,0,0,0.1416,0.25
rd_00113,road,road,2025-01-06T07:11:56,7.199,0,0,0,0.1806,0.25
rd_00770,road,road,2025-01-06T07:12:25,7.207,0,0,0,1.3013,1.9193
rd_01197,road,road,2025-01-06T07:13:25,7.224,0,0,0,0.6658,0.6884
rd_00457,road,road,2025-01-06T07:13:29,7.225,0,0,0,0.0518,0.25
rd_c_bs_s_2512566325,road,road,2025-01-06T07:13:29,7.225,0,0,0,0.1812,0.25
rd_00499,road,road,2025-01-06T07:13:34,7.226,0,0,0,0.0878,0.25
rd_00375,road,road,2025-01-06T07:13:49,7.231,0,0,0,0.1068,0.25
rd_00161,road,road,2025-01-06T07:14:14,7.237,0,0,0,0.0295,0.25
rd_00873,road,road,2025-01-06T07:14:22,7.24,0,0,0,0.9282,1.0238
tr_bus_60a_017,transit,bus,2025-01-06T07:14:54,7.248,0,0,0,4.557,6.1526
tr_metro_purpleline_016,transit,metro,2025-01-06T07:14:56,7.249,0,0,0,2.57,2.6515
rd_00854,road,road,2025-01-06T07:15:13,7.254,0,0,0,0.4576,0.5015
rd_00537,road,road,2025-01-06T07:15:41,7.262,0,0,0,0.0248,0.25
rd_00488,road,road,2025-01-06T07:16:04,7.268,0,0,0,0.0209,0.25
rd_00154,road,road,2025-01-06T07:16:20,7.272,0,0,0,0.6898,0.8788
rd_00235,road,road,2025-01-06T07:16:49,7.28,0,0,0,0.2177,0.328
rd_00017,road,road,2025-01-06T07:16:51,7.281,0,0,0,0.0551,0.25
rd_01227,road,road,2025-01-06T07:17:00,7.283,0,0,0,1.0046,1.3831
rd_c_bs__13110965691,road,road,2025-01-06T07:17:07,7.285,0,0,0,0.0582,0.25
rd_01159,road,road,2025-01-06T07:17:40,7.295,0,0,0,0.8049,1.0444
rd_01219,road,road,2025-01-06T07:17:42,7.295,0,0,0,2.9447,3.6657
tr_bus_169_021,transit,bus,2025-01-06T07:17:44,7.296,0,0,0,4.047,7.7999
rd_c_bs_s_4159540542,road,road,2025-01-06T07:17:51,7.298,0,0,0,0.03,0.25
rd_c_bs_s_4349360994,road,road,2025-01-06T07:17:55,7.299,0,0,0,0.327,0.4586
rd_c_bs_s_2076240754,road,road,2025-01-06T07:18:26,7.307,0,0,0,0.3576,0.4555
tr_metro_purpleline_016,transit,metro,2025-01-06T07:18:57,7.316,0,0,0,2.57,2.5419
rd_c_bs_bs_298831024,road,road,2025-01-06T07:19:26,7.324,0,0,0,0.1512,0.25
rd_00540,road,road,2025-01-06T07:20:22,7.34,0,0,0,0.0141,0.25
rd_01126,road,road,2025-01-06T07:20:37,7.344,0,0,0,1.5589,2.3101
rd_c_bs_s_1568922532,road,road,2025-01-06T07:20:45,7.346,0,0,0,0.0906,0.25
rd_00672,road,road,2025-01-06T07:20:47,7.347,0,0,0,0.0197,0.25
rd_00782,road,road,2025-01-06T07:21:06,7.352,0,0,0,0.3655,0.46
rd_00530,road,road,2025-01-06T07:22:07,7.369,0,0,0,0.1066,0.25
tr_bus_60a_017,transit,bus,2025-01-06T07:22:10,7.37,0,0,0,4.557,7.3297
rd_00631,road,road,2025-01-06T07:22:11,7.37,0,0,0,0.0341,0.25
rd_01228,road,road,2025-01-06T07:22:30,7.375,0,0,0,1.0509,1.7426
rd_00563,road,road,2025-01-06T07:22:33,7.376,0,0,0,0.0357,0.25
rd_00494,road,road,2025-01-06T07:22:35,7.377,0,0,0,0.3806,0.4889
rd_00028,road,road,2025-01-06T07:22:59,7.383,0,0,0,0.0849,0.25
rd_00163,road,road,2025-01-06T07:23:15,7.388,0,0,0,0.0835,0.25
rd_01210,road,road,2025-01-06T07:23:16,7.388,0,0,0,0.6986,0.8351
rd_c_bs_s_2513845212,road,road,2025-01-06T07:23:30,7.392,0,0,0,0.0567,0.25
tr_bus_500l_006,transit,bus,2025-01-06T07:23:34,7.393,0,0,0,2.47,2.867
rd_01017,road,road,2025-01-06T07:23:44,7.396,0,0,0,0.3221,0.4558
rd_00178,road,road,2025-01-06T07:24:06,7.402,0,0,0,0.0632,0.25
rd_01231,road,road,2025-01-06T07:24:16,7.405,0,0,0,0.4823,0.5437
rd_00814,road,road,2025-01-06T07:24:25,7.407,0,0,0,0.3364,0.4642
rd_00837,road,road,2025-01-06T07:24:27,7.408,0,0,0,0.411,0.5773
rd_00445,road,road,2025-01-06T07:24:54,7.415,0,0,0,0.1857,0.2755
rd_00389,road,road,2025-01-06T07:24:57,7.416,0,0,0,0.2762,0.3513
tr_metro_greenline_004,transit,metro,2025-01-06T07:25:08,7.419,0,0,0,2.335,2.0815
